p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type,comparison
0,-13.2759686813745,0,0.847,0,RPS4Y1,Interstitial_Macrophage,unin_hto_vs_unin3
0,-2.19741693177289,0.283,0.832,0,IL3RA,Interstitial_Macrophage,unin_hto_vs_unin3
0,6.55369279255177,0.527,0.016,0,HLA-DQA2,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.45737126675939,0.421,0.841,0,MS4A4A,Interstitial_Macrophage,unin_hto_vs_unin3
0,-10.8737402295618,0,0.364,0,EIF1AY,Interstitial_Macrophage,unin_hto_vs_unin3
0,2.34558126879773,0.756,0.412,0,C4orf48,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.24919039560459,0.664,0.96,0,ATP5MC3,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.39639691630822,0.675,0.968,0,NDUFA4,Interstitial_Macrophage,unin_hto_vs_unin3
0,2.01523619469033,0.825,0.579,0,TYMP,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.04628540944441,0.732,0.974,0,MYL12B,Interstitial_Macrophage,unin_hto_vs_unin3
0,2.27052063211666,0.783,0.542,0,CES1,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.18433952785126,0.732,0.972,0,TXN,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.37764112762487,0.764,0.999,0,HLA-DRB5,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.03581011364326,0.732,0.963,0,ATP5MG,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.980207933654317,0.744,0.972,0,SRP14,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.21533644480541,0.789,0.982,0,MYL12A,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.979218055417939,0.804,0.977,0,GSTO1,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.950160446133394,0.805,0.976,0,AIF1,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.961193033545614,0.843,0.982,0,S100A9,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.936978259638464,0.853,0.988,0,ARPC3,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.797863476498515,0.871,0.987,0,PRDX1,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.765122548796015,0.876,0.987,0,MGST3,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.887277227410359,0.891,0.993,0,UBB,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.16294517138651,0.889,0.986,0,CD52,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.821969784031825,0.912,0.996,0,S100A10,Interstitial_Macrophage,unin_hto_vs_unin3
0,1.61002093298119,0.894,0.826,0,RPS26,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.677924528398058,0.927,0.994,0,FCER1G,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.968073748563834,0.926,0.993,0,HLA-DQA1,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.19968567515233,0.937,0.997,0,LGALS3,Interstitial_Macrophage,unin_hto_vs_unin3
0,-1.13067899091849,0.945,0.998,0,HLA-DPB1,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.661269121904365,0.953,0.995,0,CD63,Interstitial_Macrophage,unin_hto_vs_unin3
0,1.29054467077566,0.9,0.867,0,CEBPB,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.837228274084928,0.975,0.999,0,S100A11,Interstitial_Macrophage,unin_hto_vs_unin3
0,1.70193395165108,0.967,0.988,0,APOE,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.690218043412006,0.981,1,0,VIM,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.981158554049127,0.98,0.997,0,TSPO,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.72233932965128,0.983,0.999,0,C1QB,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.673451028628287,0.992,1,0,S100A6,Interstitial_Macrophage,unin_hto_vs_unin3
0,-0.358760462392206,1,1,0,TMSB4X,Interstitial_Macrophage,unin_hto_vs_unin3
1.11253692925366e-308,-1.17874425181072,0.552,0.904,1.11253693044619e-308,COX7B,Interstitial_Macrophage,unin_hto_vs_unin3
1.1125369292539e-308,-1.5317876502856,0.378,0.795,1.11253693549176e-308,CKLF,Interstitial_Macrophage,unin_hto_vs_unin3
1.11253692925459e-308,-0.765908536461005,0.889,0.992,1.1125369497009e-308,CALM1,Interstitial_Macrophage,unin_hto_vs_unin3
1.16997778477909e-308,-0.465413459398628,0.983,0.998,2.37012458069294e-305,CYBA,Interstitial_Macrophage,unin_hto_vs_unin3
1.18939195753561e-308,-1.1141678639581,0.576,0.909,3.17119217697207e-305,ATP5PF,Interstitial_Macrophage,unin_hto_vs_unin3
